#SampleID	True_SampleID	Category	Description	Sex	Nest_location	Nest_no	Body_location	Fert_status	Species	MiSeqRun
AMCN1R2	AMCN1	adult	adult	male	NA	Nest1	cloaca	fertilized	macrotis	2
AMCN3R2	AMCN3	adult	adult	male	NA	Nest3	cloaca	fertilized	otilophus	2
AMCN4R2	AMCN4	adult	adult	male	NA	Nest4	cloaca	fertilized	leucomystax	2
AMDR2	AMD	adult	adult	male	NA	NA	dorsal	unfertilized	leucomystax	2
AMDN1R2	AMDN1	adult	adult	male	NA	Nest1	dorsal	fertilized	macrotis	2
AMDN3R2	AMDN3	adult	adult	male	NA	Nest3	dorsal	fertilized	otilophus	2
AMDN4R2	AMDN4	adult	adult	male	NA	Nest4	dorsal	fertilized	leucomystax	2
AMVR2	AMV	adult	adult	male	NA	NA	ventral	unfertilized	leucomystax	2
AMVN1R2	AMVN1	adult	adult	male	NA	Nest1	ventral	fertilized	macrotis	2
AMVN3R2	AMVN3	adult	adult	male	NA	Nest3	ventral	fertilized	otilophus	2
AMVN4R2	AMVN4	adult	adult	male	NA	Nest4	ventral	fertilized	leucomystax	2
C2H2OR2	C2H2O	water-control	water-control	NA	NA	NA	NA	NA	NA	2
H2O1R2	H2O1	water-control	water-control	NA	NA	NA	NA	NA	NA	2
H2O2R2	H2O2	water-control	water-control	NA	NA	NA	NA	NA	NA	2
H2O3R2	H2O3	water-control	water-control	NA	NA	NA	NA	NA	NA	2
H2Ocontrol1R2	H2Ocontrol1	water-control	water-control	NA	NA	NA	NA	NA	NA	2
H2Ocontrol2R2	H2Ocontrol2	water-control	water-control	NA	NA	NA	NA	NA	NA	2
H2Ocontrol3R2	H2Ocontrol3	water-control	water-control	NA	NA	NA	NA	NA	NA	2
H20controlN4R2	H20controlN4	water-control	water-control	NA	NA	Nest4	NA	NA	NA	2
H2ON3R2	H2ON3	water-control	water-control	NA	NA	Nest3	NA	NA	NA	2
N1FTad1R2	N1FTad1	tadpole-nest	tadpole-nest	NA	NA	Nest1	NA	NA	macrotis	2
N1FTad2R2	N1FTad2	tadpole-nest	tadpole-nest	NA	NA	Nest1	NA	NA	macrotis	2
N1FTad3R2	N1FTad3	tadpole-nest	tadpole-nest	NA	NA	Nest1	NA	NA	macrotis	2
N1H2O1R2	N1H2O1	water-terrarium	water-terrarium	NA	NA	Nest1	NA	NA	NA	2
N1H2O2R2	N1H2O2	water-terrarium	water-terrarium	NA	NA	Nest1	NA	NA	NA	2
N1H2O3R2	N1H2O3	water-terrarium	water-terrarium	NA	NA	Nest1	NA	NA	NA	2
N1H2OFTadsR2	N1H2OFTads	water-terrarium	water-terrarium	NA	NA	Nest1	NA	NA	NA	2
N1in1R2	N1in1	nest-in	nest-in	NA	inside	Nest1	NA	fertilized	macrotis	2
N1in2R2	N1in2	nest-in	nest-in	NA	inside	Nest1	NA	fertilized	macrotis	2
N1in3R2	N1in3	nest-in	nest-in	NA	inside	Nest1	NA	fertilized	macrotis	2
N1leaf1R2	N1leaf1	leaf	leaf	NA	NA	Nest1	NA	NA	NA	2
N1leaf2R2	N1leaf2	leaf	leaf	NA	NA	Nest1	NA	NA	NA	2
N1leaf3R2	N1leaf3	leaf	leaf	NA	NA	Nest1	NA	NA	NA	2
N1out1R2	N1out1	nest-out	nest-out	NA	outside	Nest1	NA	fertilized	macrotis	2
N1out2R2	N1out2	nest-out	nest-out	NA	outside	Nest1	NA	fertilized	macrotis	2
N1out3R2	N1out3	nest-out	nest-out	NA	outside	Nest1	NA	fertilized	macrotis	2
N1PH2O1R2	N1PH2O1	water-enclosure	water	NA	NA	Nest1	NA	NA	NA	2
N1PH2O2R2	N1PH2O2	water-enclosure	water	NA	NA	Nest1	NA	NA	NA	2
N1PH2O3R2	N1PH2O3	water-enclosure	water	NA	NA	Nest1	NA	NA	NA	2
N1WTad1R2	N1WTad1	tadpole-pond	tadpole-pond	NA	NA	Nest1	NA	NA	macrotis	2
N1WTad2R2	N1WTad2	tadpole-pond	tadpole-pond	NA	NA	Nest1	NA	NA	macrotis	2
N1WTad3R2	N1WTad3	tadpole-pond	tadpole-pond	NA	NA	Nest1	NA	NA	macrotis	2
N3FH2O1R2	N3FH2O1	water-terrarium	water-terrarium	NA	NA	Nest3	NA	NA	NA	2
N3FH2O2R2	N3FH2O2	water-terrarium	water-terrarium	NA	NA	Nest3	NA	NA	NA	2
N3FH2O3R2	N3FH2O3	water-terrarium	water-terrarium	NA	NA	Nest3	NA	NA	NA	2
N3FTad1R2	N3FTad1	tadpole-nest	tadpole-nest	NA	NA	Nest3	NA	NA	otilophus	2
N3FTad2R2	N3FTad2	tadpole-nest	tadpole-nest	NA	NA	Nest3	NA	NA	otilophus	2
N3FTad3R2	N3FTad3	tadpole-nest	tadpole-nest	NA	NA	Nest3	NA	NA	otilophus	2
N3in1R2	N3in1	nest-in	nest-in	NA	inside	Nest3	NA	fertilized	otilophus	2
N3in2R2	N3in2	nest-in	nest-in	NA	inside	Nest3	NA	fertilized	otilophus	2
N3in3R2	N3in3	nest-in	nest-in	NA	inside	Nest3	NA	fertilized	otilophus	2
N3leaf1R2	N3leaf1	leaf	leaf	NA	NA	Nest3	NA	NA	NA	2
N3leaf2R2	N3leaf2	leaf	leaf	NA	NA	Nest3	NA	NA	NA	2
N3leaf3R2	N3leaf3	leaf	leaf	NA	NA	Nest3	NA	NA	NA	2
N3out1R2	N3out1	nest-out	nest-out	NA	outside	Nest3	NA	fertilized	otilophus	2
N3out2R2	N3out2	nest-out	nest-out	NA	outside	Nest3	NA	fertilized	otilophus	2
N3out3R2	N3out3	nest-out	nest-out	NA	outside	Nest3	NA	fertilized	otilophus	2
N3PH2O1R2	N3PH2O1	water-enclosure	water	NA	NA	Nest3	NA	NA	NA	2
N3PH2O2R2	N3PH2O2	water-enclosure	water	NA	NA	Nest3	NA	NA	NA	2
N3PH2O3R2	N3PH2O3	water-enclosure	water	NA	NA	Nest3	NA	NA	NA	2
N3WTad1R2	N3WTad1	tadpole-pond	tadpole-pond	NA	NA	Nest3	NA	NA	otilophus	2
N3WTad2R2	N3WTad2	tadpole-pond	tadpole-pond	NA	NA	Nest3	NA	NA	otilophus	2
N3WTad3R2	N3WTad3	tadpole-pond	tadpole-pond	NA	NA	Nest3	NA	NA	otilophus	2
N4FH2O1R2	N4FH2O1	water-terrarium	water-terrarium	NA	NA	Nest4	NA	NA	NA	2
N4FH2O2R2	N4FH2O2	water-terrarium	water-terrarium	NA	NA	Nest4	NA	NA	NA	2
N4FH2O3R2	N4FH2O3	water-terrarium	water-terrarium	NA	NA	Nest4	NA	NA	NA	2
N4FTad1R2	N4FTad1	tadpole-nest	tadpole-nest	NA	NA	Nest4	NA	NA	leucomystax	2
N4FTad2R2	N4FTad2	tadpole-nest	tadpole-nest	NA	NA	Nest4	NA	NA	leucomystax	2
N4FTad3R2	N4FTad3	tadpole-nest	tadpole-nest	NA	NA	Nest4	NA	NA	leucomystax	2
N4in1R2	N4in1	nest-in	nest-in	NA	inside	Nest4	NA	fertilized	leucomystax	2
N4in2R2	N4in2	nest-in	nest-in	NA	inside	Nest4	NA	fertilized	leucomystax	2
N4in3R2	N4in3	nest-in	nest-in	NA	inside	Nest4	NA	fertilized	leucomystax	2
N4leaf1R2	N4leaf1	leaf	leaf	NA	NA	Nest4	NA	NA	NA	2
