"X.SampleID"	"Category"	"Description"	"Sex"	"Nest_location"	"Nest_no"	"Body_location"	"Fert_status"	"Species"	"PD"	"SR"
"72"	"N3PH2O2"	"water-enclosure"	"water"	NA	NA	"Nest3"	NA	NA	NA	66.560306448	1039
"73"	"N3PH2O3"	"water-enclosure"	"water"	NA	NA	"Nest3"	NA	NA	NA	67.940014289	1117
"74"	"N3WTad1"	"tadpole-pond"	"tadpole-pond"	NA	NA	"Nest3"	NA	NA	"otilophus"	43.920966414	723
"75"	"N3WTad2"	"tadpole-pond"	"tadpole-pond"	NA	NA	"Nest3"	NA	NA	"otilophus"	54.354562686	792
"76"	"N3WTad3"	"tadpole-pond"	"tadpole-pond"	NA	NA	"Nest3"	NA	NA	"otilophus"	55.390535039	924
"77"	"N4FH2O1"	"water-terrarium"	"water-terrarium"	NA	NA	"Nest4"	NA	NA	NA	51.241139861	888
"78"	"N4FH2O2"	"water-terrarium"	"water-terrarium"	NA	NA	"Nest4"	NA	NA	NA	45.018313075	644
"79"	"N4FH2O3"	"water-terrarium"	"water-terrarium"	NA	NA	"Nest4"	NA	NA	NA	29.313285896	321
"80"	"N4FTad1"	"tadpole-nest"	"tadpole-nest"	NA	NA	"Nest4"	NA	NA	"leucomystax"	42.028228744	690
"81"	"N4FTad2"	"tadpole-nest"	"tadpole-nest"	NA	NA	"Nest4"	NA	NA	"leucomystax"	52.578988429	932
"82"	"N4FTad3"	"tadpole-nest"	"tadpole-nest"	NA	NA	"Nest4"	NA	NA	"leucomystax"	46.111892501	732
"83"	"N4in1"	"nest-in"	"nest-in"	NA	"inside"	"Nest4"	NA	"fertilized"	"leucomystax"	24.615936698	291
"84"	"N4in2"	"nest-in"	"nest-in"	NA	"inside"	"Nest4"	NA	"fertilized"	"leucomystax"	24.667877937	308
"85"	"N4in3"	"nest-in"	"nest-in"	NA	"inside"	"Nest4"	NA	"fertilized"	"leucomystax"	32.526894096	361
"86"	"N4leaf1"	"leaf"	"leaf"	NA	NA	"Nest4"	NA	NA	NA	25.935000227	237
"87"	"N4leaf2"	"leaf"	"leaf"	NA	NA	"Nest4"	NA	NA	NA	47.899558342	771
"88"	"N4leaf3"	"leaf"	"leaf"	NA	NA	"Nest4"	NA	NA	NA	23.892344863	231
"89"	"N4out1"	"nest-out"	"nest-out"	NA	"outside"	"Nest4"	NA	"fertilized"	"leucomystax"	49.982303105	874
"90"	"N4out2"	"nest-out"	"nest-out"	NA	"outside"	"Nest4"	NA	"fertilized"	"leucomystax"	42.613509448	730
"91"	"N4out3"	"nest-out"	"nest-out"	NA	"outside"	"Nest4"	NA	"fertilized"	"leucomystax"	47.231555572	766
"92"	"N4PH2O1"	"water-enclosure"	"water"	NA	NA	"Nest4"	NA	NA	NA	57.039379008	969
"93"	"N4PH2O2"	"water-enclosure"	"water"	NA	NA	"Nest4"	NA	NA	NA	54.106587795	903
"94"	"N4PH2O3"	"water-enclosure"	"water"	NA	NA	"Nest4"	NA	NA	NA	47.926601161	768
"95"	"N4WTad1"	"tadpole-pond"	"tadpole-pond"	NA	NA	"Nest4"	NA	NA	"leucomystax"	59.664997287	935
"96"	"N4WTad2"	"tadpole-pond"	"tadpole-pond"	NA	NA	"Nest4"	NA	NA	"leucomystax"	46.497566264	730
"97"	"N4WTad3"	"tadpole-pond"	"tadpole-pond"	NA	NA	"Nest4"	NA	NA	"leucomystax"	43.979208292	634
"98"	"NAR2"	"sterile-swab"	"sterile-swab"	NA	NA	NA	NA	NA	NA	40.927843484	679
